run_id,model,dataset,lang,n,seed,val_f1_weighted,test_f1_weighted,train_seconds
xlmr_amh_500_42,xlmr,sib200,amh,500,42,0.8916860844376284,0.8916860844376284,95.13299036026001
xlmr_amh_500_123,xlmr,sib200,amh,500,123,0.8528620153334113,0.8528620153334113,92.27851867675781
xlmr_amh_250_1024,xlmr,sib200,amh,250,1024,0.782964121245902,0.782964121245902,55.94427514076233
xlmr_amh_250_789,xlmr,sib200,amh,250,789,0.8460710298190214,0.8460710298190214,63.77815318107605
xlmr_amh_250_42,xlmr,sib200,amh,250,42,0.7529520506720931,0.7529520506720931,58.3656849861145
xlmr_amh_250_123,xlmr,sib200,amh,250,123,0.8394977444163927,0.8394977444163927,60.059261322021484
xlmr_amh_250_456,xlmr,sib200,amh,250,456,0.8233938233403735,0.8233938233403735,57.424702882766724
xlmr_amh_100_1024,xlmr,sib200,amh,100,1024,0.717768305204638,0.717768305204638,54.70661902427673
xlmr_amh_100_789,xlmr,sib200,amh,100,789,0.7670714783246753,0.7670714783246753,47.20098662376404
xlmr_amh_100_456,xlmr,sib200,amh,100,456,0.7052560581972347,0.7052560581972347,49.78098917007446
xlmr_amh_100_123,xlmr,sib200,amh,100,123,0.7358854652972301,0.7358854652972301,56.55222177505493
xlmr_yor_full_1024,xlmr,sib200,yor,full,1024,0.5350131834851699,0.5350131834851699,97.57627987861633
xlmr_amh_100_42,xlmr,sib200,amh,100,42,0.7373355199442155,0.7373355199442155,54.21983337402344
xlmr_yor_full_456,xlmr,sib200,yor,full,456,0.4886660211737611,0.4886660211737611,108.88568687438965
xlmr_yor_full_789,xlmr,sib200,yor,full,789,0.6404218520759873,0.6404218520759873,96.4999258518219
xlmr_yor_full_123,xlmr,sib200,yor,full,123,0.5035084774215209,0.5035084774215209,97.05153107643127
xlmr_yor_full_42,xlmr,sib200,yor,full,42,0.5872667141343544,0.5872667141343544,111.64069771766663
xlmr_yor_500_1024,xlmr,sib200,yor,500,1024,0.565706248314944,0.565706248314944,114.83443236351013
xlmr_yor_500_789,xlmr,sib200,yor,500,789,0.6531794915662192,0.6531794915662192,125.30250477790833
xlmr_yor_500_456,xlmr,sib200,yor,500,456,0.6353006473804793,0.6353006473804793,115.36841702461243
xlmr_yor_500_123,xlmr,sib200,yor,500,123,0.5061581192015975,0.5061581192015975,124.63731718063354
xlmr_yor_500_42,xlmr,sib200,yor,500,42,0.6460793957045832,0.6460793957045832,114.93483543395996
xlmr_yor_250_1024,xlmr,sib200,yor,250,1024,0.323228548085517,0.323228548085517,77.1952772140503
xlmr_yor_250_789,xlmr,sib200,yor,250,789,0.46649432833643356,0.46649432833643356,62.91819643974304
xlmr_yor_250_456,xlmr,sib200,yor,250,456,0.4112625656544575,0.4112625656544575,75.88657999038696
xlmr_yor_250_123,xlmr,sib200,yor,250,123,0.31488379135437955,0.31488379135437955,66.41719341278076
xlmr_yor_250_42,xlmr,sib200,yor,250,42,0.40191073941073935,0.40191073941073935,77.10705518722534
xlmr_yor_100_1024,xlmr,sib200,yor,100,1024,0.26754933504933504,0.26754933504933504,50.55570673942566
xlmr_yor_100_789,xlmr,sib200,yor,100,789,0.2748937616862145,0.2748937616862145,57.557190895080566
xlmr_yor_100_456,xlmr,sib200,yor,100,456,0.32643948296122205,0.32643948296122205,49.78580951690674
xlmr_yor_100_42,xlmr,sib200,yor,100,42,0.25335539621253905,0.25335539621253905,60.284300565719604
xlmr_yor_100_123,xlmr,sib200,yor,100,123,0.33344514638751244,0.33344514638751244,52.13524580001831
xlmr_swh_full_1024,xlmr,sib200,swh,full,1024,0.8677661236484764,0.8677661236484764,71.96329045295715
xlmr_swh_full_789,xlmr,sib200,swh,full,789,0.8275802981685334,0.8275802981685334,78.07333374023438
xlmr_swh_full_456,xlmr,sib200,swh,full,456,0.8527168015659065,0.8527168015659065,70.28840184211731
xlmr_swh_full_123,xlmr,sib200,swh,full,123,0.8276507276507277,0.8276507276507277,77.2798593044281
xlmr_swh_full_42,xlmr,sib200,swh,full,42,0.8543825164877795,0.8543825164877795,68.9270269870758
xlmr_swh_500_1024,xlmr,sib200,swh,500,1024,0.8381203235547943,0.8381203235547943,104.52558732032776
xlmr_swh_500_789,xlmr,sib200,swh,500,789,0.8275802981685334,0.8275802981685334,90.80842781066895
xlmr_swh_500_456,xlmr,sib200,swh,500,456,0.8270937762621828,0.8270937762621828,86.22993278503418
xlmr_swh_500_123,xlmr,sib200,swh,500,123,0.8237210117930942,0.8237210117930942,83.92440223693848
xlmr_swh_500_42,xlmr,sib200,swh,500,42,0.8028335752632427,0.8028335752632427,80.8839168548584
xlmr_swh_250_789,xlmr,sib200,swh,250,789,0.7847750005644742,0.7847750005644742,63.01639270782471
xlmr_swh_250_1024,xlmr,sib200,swh,250,1024,0.7739412181059779,0.7739412181059779,45.73118472099304
xlmr_swh_250_456,xlmr,sib200,swh,250,456,0.7742406330641624,0.7742406330641624,56.82602882385254
xlmr_swh_250_123,xlmr,sib200,swh,250,123,0.8005475964555249,0.8005475964555249,51.39624094963074
xlmr_swh_250_42,xlmr,sib200,swh,250,42,0.7659962287869264,0.7659962287869264,61.041571378707886
xlmr_swh_100_1024,xlmr,sib200,swh,100,1024,0.7811005685597802,0.7811005685597802,46.902698278427124
xlmr_swh_100_789,xlmr,sib200,swh,100,789,0.7117526617526617,0.7117526617526617,43.348663091659546
xlmr_swh_100_123,xlmr,sib200,swh,100,123,0.7414218002453297,0.7414218002453297,54.69134306907654
xlmr_swh_100_456,xlmr,sib200,swh,100,456,0.7718017387135033,0.7718017387135033,47.805357694625854
xlmr_sna_full_1024,xlmr,sib200,sna,full,1024,0.4817405755147006,0.4817405755147006,74.79810047149658
xlmr_swh_100_42,xlmr,sib200,swh,100,42,0.7579263332439375,0.7579263332439375,42.401390075683594
xlmr_sna_full_789,xlmr,sib200,sna,full,789,0.6251994851994852,0.6251994851994852,91.25011873245239
xlmr_sna_full_456,xlmr,sib200,sna,full,456,0.5646230646230646,0.5646230646230646,80.7537910938263
xlmr_sna_full_123,xlmr,sib200,sna,full,123,0.565024255024255,0.565024255024255,74.8767294883728
xlmr_sna_500_789,xlmr,sib200,sna,500,789,0.5965390098085036,0.5965390098085036,111.77917051315308
