dataset,lang,scale,seed,classifier,best_feature_type,best_clf_params,val_f1,test_f1,n_train
afrisenti,orm,100,123,xgboost,char_3to5,{'n_estimators': 500},0.297588,0.264321,100
afrisenti,orm,100,789,xgboost,char_3to5,{'n_estimators': 200},0.174749,0.293952,100
afrisenti,orm,100,1024,xgboost,char_3to5,{'n_estimators': 500},0.327938,0.241389,100
afrisenti,orm,100,42,xgboost,char_3to5,{'n_estimators': 500},0.293026,0.144494,100
afrisenti,orm,100,456,xgboost,char_3to5,{'n_estimators': 100},0.26531,0.316019,100
afrisenti,pcm,full,42,naive_bayes,word_bigram,{'alpha': 0.01},0.700777,0.595605,5121
afrisenti,pcm,750,1024,naive_bayes,char_3to5,{'alpha': 0.01},0.621365,0.531057,750
afrisenti,pcm,750,456,naive_bayes,word_bigram,{'alpha': 0.01},0.608739,0.531466,750
afrisenti,pcm,250,42,naive_bayes,word_unigram,{'alpha': 0.01},0.572191,0.501124,250
afrisenti,pcm,750,789,naive_bayes,word_bigram,{'alpha': 0.01},0.631728,0.534629,750
afrisenti,pcm,250,123,naive_bayes,word_unigram,{'alpha': 0.01},0.592637,0.497363,250
afrisenti,pcm,100,1024,naive_bayes,char_3to5,{'alpha': 0.01},0.565198,0.491802,100
afrisenti,pcm,750,42,naive_bayes,word_bigram,{'alpha': 0.01},0.608757,0.537855,750
afrisenti,pcm,500,1024,naive_bayes,char_3to5,{'alpha': 0.01},0.609164,0.525425,500
afrisenti,pcm,500,456,naive_bayes,word_bigram,{'alpha': 0.01},0.60599,0.518353,500
afrisenti,pcm,750,123,naive_bayes,char_3to5,{'alpha': 0.01},0.629263,0.534221,750
afrisenti,pcm,250,1024,naive_bayes,char_3to5,{'alpha': 0.01},0.588922,0.510283,250
afrisenti,pcm,500,123,naive_bayes,char_3to5,{'alpha': 0.1},0.619446,0.508908,500
afrisenti,pcm,500,789,naive_bayes,word_bigram,{'alpha': 0.01},0.621661,0.518124,500
afrisenti,pcm,250,456,naive_bayes,word_bigram,{'alpha': 0.01},0.586221,0.497959,250
afrisenti,pcm,500,42,naive_bayes,char_3to5,{'alpha': 0.01},0.597147,0.51942,500
afrisenti,pcm,250,789,naive_bayes,word_bigram,{'alpha': 0.01},0.606502,0.506317,250
afrisenti,pcm,100,789,naive_bayes,word_bigram,{'alpha': 0.01},0.597333,0.50329,100
afrisenti,pcm,100,456,naive_bayes,char_3to5,{'alpha': 0.1},0.582802,0.485631,100
afrisenti,pcm,100,123,naive_bayes,word_bigram,{'alpha': 0.01},0.59466,0.501855,100
afrisenti,pcm,100,42,naive_bayes,word_unigram,{'alpha': 0.01},0.555337,0.488264,100
afrisenti,pcm,full,42,svm,word_bigram,{'C': 1.0},0.718464,0.621569,5121
afrisenti,pcm,750,123,svm,char_3to5,{'C': 1.0},0.634858,0.54014,750
afrisenti,pcm,750,1024,svm,word_bigram,{'C': 1.0},0.623319,0.531259,750
afrisenti,pcm,750,789,svm,word_bigram,{'C': 100.0},0.629031,0.541223,750
afrisenti,pcm,500,789,svm,word_bigram,{'C': 100.0},0.612224,0.515237,500
afrisenti,pcm,750,456,svm,word_bigram,{'C': 10.0},0.626746,0.545168,750
afrisenti,pcm,750,42,svm,word_unigram,{'C': 10.0},0.624734,0.538499,750
afrisenti,pcm,500,123,svm,word_unigram,{'C': 1.0},0.621089,0.516849,500
afrisenti,pcm,500,1024,svm,word_unigram,{'C': 1.0},0.623805,0.535791,500
afrisenti,pcm,250,789,svm,word_bigram,{'C': 100.0},0.601402,0.509016,250
afrisenti,pcm,250,1024,svm,word_bigram,{'C': 100.0},0.605727,0.512154,250
afrisenti,pcm,500,42,svm,word_unigram,{'C': 100.0},0.60303,0.524223,500
afrisenti,pcm,250,123,svm,char_3to5,{'C': 1.0},0.609948,0.511214,250
afrisenti,pcm,500,456,svm,word_unigram,{'C': 10.0},0.626489,0.519567,500
afrisenti,pcm,100,1024,svm,char_3to5,{'C': 100.0},0.570226,0.485943,100
afrisenti,pcm,250,42,svm,word_unigram,{'C': 100.0},0.570508,0.508956,250
afrisenti,pcm,250,456,svm,word_unigram,{'C': 1.0},0.593431,0.502768,250
afrisenti,pcm,100,789,svm,word_unigram,{'C': 1.0},0.585746,0.488969,100
afrisenti,pcm,100,123,svm,word_unigram,{'C': 100.0},0.582868,0.494878,100
afrisenti,pcm,100,456,svm,char_3to5,{'C': 10.0},0.587219,0.497149,100
